Mahout,Java,Scala
61131,238816,266144
61309,240172,265290
61142,240660,266251
61313,237403,269543
61440,239781,259499
61120,236178,299080
61910,244046,261586
61266,239692,264419
61574,236343,267832
61189,236884,265748
